,data
0,2.187978042356989
1,2.397877195582573
2,2.5004381737902066
3,2.5671572874993327
4,2.616079547852084
5,2.654434887148161
6,2.685832941506408
7,2.712314649005625
8,1.6865224571643973
9,1.7635367499507453
10,1.7983108431464203
11,1.8199039016084446
12,1.8352141650401919
13,1.8468993502078406
14,1.8562596987658107
15,1.8640032196615188
16,1.4720541673590108
17,1.4995702296725821
18,1.5099327219540808
19,1.5155884093193006
20,1.5191906519538758
21,1.5216861019505337
22,1.5235183796271243
23,1.5249093073619377
24,1.2976839350556035
25,1.292637615326874
26,1.287438205077419
27,1.2831187424373363
28,1.2794871449884968
29,1.276362407600441
30,1.2736275628697666
31,1.2711920433515993
32,1.1315296957338645
33,1.1053588813952315
34,1.0905217712133675
35,1.0801825522897952
36,1.0722639966984298
37,1.0658558351387752
38,1.0604825566163154
39,1.0558585885737721
40,0.9737256732564776
41,0.9354723700477241
42,0.9153931260428333
43,0.9018846862922767
44,0.891764448400588
45,0.8837042961393852
46,0.8770260557325189
47,0.871336417971127
48,0.8220762021432102
49,0.7778459304419193
50,0.7554623791044065
51,0.740673816295717
52,0.7297245338423564
53,0.7210803273219087
54,0.7139658800892723
55,0.7079390559456163
56,0.6130711359161968
57,0.5674452538858156
58,0.5451674013478068
59,0.5307176741060982
60,0.5201496267767509
61,0.5118830888788116
62,0.5051276031585873
63,0.49943962026014477
64,0.3808329191499471
65,0.3416706140818565
66,0.3233328068688161
67,0.31168983733348776
68,0.30329395787595476
69,0.2967957371443114
70,0.2915284134043343
71,0.28712420623924356
72,0.20936116033522956
73,0.18079621639143587
74,0.16809486493144052
75,0.16022974146417887
76,0.15464851340004923
77,0.15037941305046096
78,0.14694986371694146
79,0.1441038474330161
80,0.09729422555149365
81,0.0798653018687049
82,0.072636979892994
83,0.06830262656905865
84,0.06528801613579978
85,0.06301507533154231
86,0.06120873694790707
87,0.059723057764692486
