index,data
1,9.726
2,8.352
3,7.845
4,6.889
5,7.115
6,11.285
7,10.321
8,8.994
9,8.728
10,6.94
11,12.428
12,11.304
13,9.467
14,7.89
15,6.493
16,11.873
17,9.785
18,9.502
19,7.194
20,5.19
21,9.937
22,9.014
23,7.461
24,5.886
25,4.23
26,9.041
27,8.052
28,6.053
29,4.247
30,3.185
31,7.733
32,6.277
33,4.45
34,3.483
35,2.528
36,5.95
37,4.13
38,3.357
39,2.231
40,4.098
41,2.7
42,1.894
43,1.094
44,2.144
45,1.46
46,0.956
47,1.072
48,0.635
49,0.414
50,9.951
51,9.668
52,9.069
53,8.216
54,8.931
55,8.428
56,13.006
57,11.468
58,11.756
59,10.585
60,9.708
61,7.678
62,14.345
63,12.352
64,11.434
65,10.012
66,8.201
67,6.96
68,15.153
69,12.201
70,10.098
71,8.087
72,6.787
73,5.751
74,12.44
75,11.011
76,8.622
77,6.899
78,5.674
79,4.353
80,11.503
81,9.531
82,7.372
83,5.262
84,3.865
85,3.245
86,10.276
87,7.617
88,6.14
89,4.337
90,3.419
91,2.684
92,8.104
93,5.744
94,4.358
95,2.797
96,1.975
97,1.226
98,4.965
99,3.609
100,2.478
101,1.699
102,1.222
103,2.682
104,1.708
105,1.199
106,1.004
107,0.489
108,1.295
109,0.808
110,0.496
111,0.365
112,0.203
113,8.808
114,10.592
115,8.628
116,10.045
117,8.585
118,7.3
119,7.689
120,11.899
121,13.21
122,11.505
123,10.928
124,9.709
125,8.334
126,7.585
127,13.708
128,14.286
129,11.316
130,9.578
131,8.621
132,6.81
133,6.785
134,13.993
135,12.83
136,10.276
137,8.819
138,7.145
139,5.441
140,3.902
141,12.857
142,11.638
143,9.993
144,7.182
145,4.7
146,3.892
147,2.72
148,11.902
149,9.52
150,7.099
151,4.647
152,3.881
153,3.338
154,2.365
155,10.16
156,7.792
157,5.674
158,4.981
159,3.01
160,2.509
161,1.223
162,7.058
163,5.38
164,4.094
165,2.898
166,2.068
167,1.214
168,4.659
169,3.604
170,2.251
171,1.381
172,0.773
173,0.674
174,2.855
175,1.699
176,1.412
177,0.744
178,0.382
179,0.255
180,1.281
181,0.824
182,0.589
183,0.275
184,0.09
185,12.193
186,12.903
187,9.24
188,10.826
189,9.6
190,8.129
191,8.065
192,14.008
193,13.159
194,10.964
195,11.719
196,9.372
197,8.421
198,6.394
199,14.643
200,14.856
201,12.893
202,11.557
203,8.535
204,6.688
205,5.162
206,12.979
207,12.779
208,11.045
209,9.603
210,5.617
211,5.407
212,4.178
213,13.292
214,12.019
215,9.211
216,6.702
217,4.917
218,4.677
219,3.317
220,10.927
221,8.464
222,5.595
223,5.825
224,4.138
225,3.366
226,2.272
227,9.809
228,8.095
229,6.914
230,4.224
231,3.113
232,1.812
233,1.491
234,6.349
235,5.505
236,3.976
237,2.892
238,1.272
