,data
0,2.0477853515648845
1,2.1775167300949283
2,2.251695004566365
3,2.302827258128052
4,2.341461616720321
5,2.372303613960522
6,2.3978547883482366
7,2.419585603787243
8,2.4384435234986093
9,2.4550640879399834
10,2.469893673822349
11,2.4832630617855598
12,2.495420829448812
13,2.506557525045902
14,2.516819915853415
15,2.5263280347528414
16,2.5351796225701397
17,2.543454954189889
18,2.5512207444649073
19,2.5585329834732993
20,1.7031747980717609
21,1.766523033908304
22,1.8009052623310866
23,1.8238055140332494
24,1.8406690979530036
25,1.8538501372685716
26,1.8645835875643066
27,1.8735710525775886
28,1.881269174901711
29,1.8879746263290547
30,1.893890519764863
31,1.8991711232578714
32,1.9039309528592354
33,1.9082560143445093
34,1.9122088535729613
35,1.9158431435499799
36,1.9192026545388279
37,1.9223230436532772
38,1.9252336717716596
39,1.9279590280812835
40,1.4838455894492184
41,1.5086516583941285
42,1.520551128348481
43,1.5277798087569314
44,1.5327134896765318
45,1.5363168955592554
46,1.5390818162142819
47,1.5412672723928673
48,1.543045337230494
49,1.544519902210174
50,1.545757644929337
51,1.5468123086152126
52,1.5477225943353932
53,1.5485160617596763
54,1.54920962160574
55,1.5498199963622883
56,1.550360890309106
57,1.550843182856788
58,1.5512756278409712
59,1.551665357994323
60,1.2948568723683893
61,1.2939134140319255
62,1.291240633507814
63,1.288508854562127
64,1.2859682505413408
65,1.2836404295260295
66,1.2815158712325858
67,1.2795623356543717
68,1.27776252673192
69,1.2760948860932684
70,1.2745388403730125
71,1.273082522523148
72,1.2717155165964042
73,1.2704280430484425
74,1.2692090085675205
75,1.2680516558050154
76,1.2669505240171883
77,1.2659007845596646
78,1.2648981966217616
79,1.2639390008728446
80,1.1175293436793017
81,1.1000126061146114
82,1.0883317051640016
83,1.079598032188384
84,1.0726366595882588
85,1.0668533957832587
86,1.061914275668609
87,1.0576040190054545
88,1.0537850337969208
89,1.0503581386898266
90,1.0472499105690858
91,1.0444078337082667
92,1.0417913468973905
93,1.0393681216683262
94,1.0371109382339307
95,1.0349989641735875
96,1.0330151954482956
97,1.0311454417009243
98,1.0293777297290643
99,1.0277018557456847
100,0.954924688108615
101,0.9278367122614398
102,0.9111691474936112
103,0.8992104372170908
104,0.8899283106295732
105,0.8823664265200466
106,0.8760022863351498
107,0.8705168487818847
108,0.8657040581937135
109,0.8614215661142621
110,0.8575671486287212
111,0.8540657823449849
112,0.8508603774506331
113,0.8479064441138245
114,0.8451684718571388
115,0.8426180846084972
116,0.8402321284849334
117,0.8379914318029348
118,0.8358799571926958
119,0.833884149221479
120,0.802174162156454
121,0.7700651425105631
122,0.7510032959866499
123,0.7375974507568321
124,0.7273314652003435
125,0.7190533466369051
126,0.7121409084895161
127,0.7062230374166804
128,0.7010589326248504
129,0.6964854278255389
130,0.6923870018258158
131,0.6886778892861356
132,0.6852932319961094
133,0.6821830691348265
134,0.6793085668150813
135,0.6766380285898546
136,0.6741455784122525
137,0.6718098867543338
138,0.6696131788777264
139,0.6675404870973505
140,0.5916203329191361
141,0.5581821889562694
142,0.5389856601555358
143,0.5257442659900607
144,0.5157385638713774
145,0.5077527855323426
146,0.5011372913924239
147,0.49551257686988937
148,0.49063157427538007
149,0.486329762394457
150,0.4824922275550565
151,0.47903270813707177
152,0.4758864648545442
153,0.47300409140313915
154,0.4703481649352018
155,0.46788752183148397
156,0.4655967118123185
157,0.4634548553675657
158,0.4614446145513945
159,0.45955145010960474
160,0.36112888653903985
161,0.3326369304222097
162,0.31686171904051086
163,0.30620667504412163
164,0.2982711425400172
165,0.29200779627613505
166,0.28686390452073507
167,0.28252298798067726
168,0.27877884315240725
169,0.27549640918516005
170,0.27258256991719615
171,0.2699668759899056
172,0.267596790608404
173,0.26543261789784905
174,0.26344501271089055
175,0.2616090909707925
176,0.25990454467717705
177,0.2583147834030862
178,0.25682607571702876
179,0.25542696767225426
180,0.19475044692464732
181,0.17425332889923645
182,0.16338285655067059
183,0.15621540364249964
184,0.15096321987790806
185,0.14686812314580705
186,0.14353641722333338
187,0.1407471605203933
188,0.13835686211931605
189,0.1362729906446283
190,0.1344325766461461
191,0.13278774104470334
192,0.13130304449189295
193,0.12995195025395018
194,0.12871525454035643
195,0.12757644530291243
196,0.12652206498370847
197,0.12554116609219962
198,0.12462473314076859
199,0.12376526169471605
200,0.08890448517559021
201,0.0765479010642802
202,0.07035596517518186
203,0.0663972034631789
204,0.06355461797580467
205,0.06137120466726993
206,0.059614977764462174
207,0.05815858721616402
208,0.05692004925868186
209,0.05584734281793218
210,0.05490554633562019
211,0.054068103094187886
212,0.053315514782417986
213,0.05263332061472293
214,0.052011252678352535
215,0.05144039901948952
216,0.05091351499590191
217,0.05042473556616607
218,0.049969253372329304
219,0.04954308377721621
