# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
0 1.000000e-02 4.000000e+00 1.764119e+00 2.124447e-01 -2.928522e-02 1.795372e+00 1.286681e-01 5.584919e-01
0 1.000000e-02 1.000000e+02 2.309499e+00 4.368063e-01 4.765888e-01 2.630831e+00 3.013017e-01 2.426847e-01
1 1.000000e-02 4.000000e+00 1.820052e+00 1.240349e-01 6.784883e-01 1.836823e+00 2.473243e-01 1.404486e-01
1 1.000000e-02 1.000000e+02 2.432464e+00 -2.942972e-01 9.363909e-01 2.438921e+00 -5.073331e-01 -7.042694e-02
2 1.000000e-02 4.000000e+00 1.372880e+00 1.100888e-01 -5.961938e-01 1.594466e+00 -7.873922e-01 1.180989e+00
2 1.000000e-02 1.000000e+02 1.753427e+00 -1.303097e+00 2.060547e-01 2.382711e+00 -9.664856e-01 2.541919e-01
3 1.000000e-02 4.000000e+00 1.195011e+00 3.124404e-01 2.672343e-01 1.755630e+00 5.654602e-01 4.589505e-01
3 1.000000e-02 1.000000e+02 3.258111e+00 8.511458e+00 5.017621e-01 2.997453e+00 1.303495e+00 -3.175801e+00
4 1.000000e-02 4.000000e+00 1.506342e+00 -6.975989e-01 -3.109894e-01 2.029935e+00 -3.206723e-01 7.993498e-01
4 1.000000e-02 1.000000e+02 1.312118e+00 -4.170940e-01 -8.168650e-02 2.266588e+00 -7.489758e-01 2.140865e-01
5 1.000000e-02 4.000000e+00 1.475164e+00 -1.905230e-02 2.756688e-02 1.419971e+00 2.151922e-01 1.890249e-01
5 1.000000e-02 1.000000e+02 1.555965e+00 -2.741364e-02 1.298085e-01 1.792464e+00 2.245275e-01 1.885883e-01
6 1.000000e-02 4.000000e+00 1.655201e+00 7.877266e-01 1.432856e-01 1.762255e+00 6.838369e-01 1.352178e-01
6 1.000000e-02 1.000000e+02 2.298381e+00 5.362797e-02 4.501010e-01 2.410192e+00 2.955017e-01 2.542232e-01
7 1.000000e-02 4.000000e+00 1.727364e+00 -1.048232e-01 -3.017907e-01 1.679199e+00 2.596414e-01 4.956498e-01
7 1.000000e-02 1.000000e+02 2.873734e+00 -2.378079e-01 -3.548744e-01 2.809803e+00 4.225158e-01 6.184176e-01
8 1.000000e-02 4.000000e+00 1.677960e+00 -4.177928e-02 1.004635e-01 1.660639e+00 -1.783690e-01 5.280608e-02
8 1.000000e-02 1.000000e+02 2.493237e+00 -4.295812e-01 1.338359e-01 2.701009e+00 1.938982e-01 -1.385012e-01
9 1.000000e-02 4.000000e+00 1.380902e+00 1.127013e-01 1.853544e-01 1.651685e+00 4.649091e-02 2.636642e-01
9 1.000000e-02 1.000000e+02 1.481851e+00 -3.537261e-02 3.155607e-01 1.847452e+00 -4.384763e-01 1.585895e-01
10 1.000000e-02 4.000000e+00 1.294803e+00 1.535209e+00 6.418267e-01 1.482561e+00 6.531370e-01 7.838362e-02
10 1.000000e-02 1.000000e+02 1.904305e+00 2.750137e-01 2.882000e-01 1.922572e+00 -1.765444e-01 7.969980e-01
11 1.000000e-02 4.000000e+00 1.421018e+00 3.361082e-01 1.053801e+00 1.848015e+00 -1.449862e+00 1.575179e-01
11 1.000000e-02 1.000000e+02 1.784276e+00 1.126924e-01 8.765256e-01 2.239748e+00 8.866668e-02 7.679200e-01
12 1.000000e-02 4.000000e+00 1.160859e+00 -1.896744e-01 8.676457e-02 1.453037e+00 9.307665e-02 3.166753e-01
12 1.000000e-02 1.000000e+02 1.894439e+00 -4.939275e-01 -1.459022e-01 2.485999e+00 -1.659379e-01 4.322905e-01
13 1.000000e-02 4.000000e+00 1.464730e+00 6.913884e-01 3.552872e-01 1.587539e+00 7.794297e-01 2.024949e-01
13 1.000000e-02 1.000000e+02 2.611490e+00 -2.509683e+00 7.000403e-01 2.270208e+00 3.256017e+00 -2.203737e+00
14 1.000000e-02 4.000000e+00 1.869008e+00 9.586884e-01 -1.134927e-01 1.486913e+00 2.336618e-01 6.801274e-01
14 1.000000e-02 1.000000e+02 2.637937e+00 1.119958e+00 -3.424116e-01 3.056275e+00 5.931710e-01 7.890535e-01
15 1.000000e-02 4.000000e+00 1.595483e+00 6.958694e-01 4.700494e-02 1.634169e+00 -6.004257e-01 2.704319e-01
15 1.000000e-02 1.000000e+02 3.628237e+00 7.691307e-01 -6.399356e-01 3.664319e+00 -1.485740e+00 1.591461e+00
16 1.000000e-02 4.000000e+00 1.385775e+00 6.981593e-01 5.649948e-01 1.657347e+00 3.168116e-01 -1.762352e-01
16 1.000000e-02 1.000000e+02 2.161431e+00 3.255124e-01 8.462993e-01 2.199112e+00 3.978717e-01 -7.659698e-02
17 1.000000e-02 4.000000e+00 1.506860e+00 -5.569000e-01 -3.991910e-01 1.638937e+00 -1.969635e-04 9.006971e-01
